alpha,batch,dropout,epochs,eval_accuracy,eval_loss,exp_name,gpu_mem_after_mb,gpu_mem_before_mb,gpu_mem_peak_mb,improved,lr,rank,total_params,trainable_params,trainable_ratio,training_time_sec,use_lora
16,16,0,3,0.936927,0.260563,baseline_full_ft,1494.98,476.734,2480.54,False,2e-05,8,124647170,124647170,1,311.303,False
16,16,0.05,3,0.925459,0.213611,lora_alpha_16,551.888,480.118,1113.13,False,2e-05,8,125534212,887042,0.00706614,281.004,True
32,16,0.05,3,0.925459,0.219929,lora_alpha_32,551.888,480.118,1113.13,False,2e-05,8,125534212,887042,0.00706614,279.471,True
8,16,0.05,3,0.926606,0.214688,lora_alpha_8,551.888,480.118,1113.13,False,2e-05,8,125534212,887042,0.00706614,281.729,True
16,16,0.1,3,0.927752,0.216181,lora_dropout_only,551.888,480.118,1113.13,False,2e-05,8,125534212,887042,0.00706614,270.823,True
16,16,0.1,3,0.931193,0.213994,lora_improved_dropout,556.106,481.524,1147.29,True,2e-05,8,125902852,1255682,0.00997342,309.597,True
16,16,0.05,3,0.927752,0.209075,lora_rank_r16,555.263,481.243,1117.45,False,2e-05,16,125829124,1181954,0.00939333,278.018,True
16,16,0.05,3,0.919725,0.216793,lora_rank_r2,549.356,479.274,1109.88,False,2e-05,2,125313028,665858,0.00531356,280.65,True
16,16,0.05,3,0.926606,0.217752,lora_rank_r4,550.2,479.556,1110.96,False,2e-05,4,125386756,739586,0.00589844,279.952,True
16,16,0.05,3,0.927752,0.209125,lora_rank_r8,551.888,480.118,1113.13,False,2e-05,8,125534212,887042,0.00706614,278.722,True
16,16,0.05,3,0.928899,0.216607,lora_target_QV,551.888,480.118,1113.13,False,2e-05,8,125534212,887042,0.00706614,280.485,True
16,16,0.05,3,0.931193,0.216958,lora_target_QV_fc1_improved,556.106,481.524,1147.29,True,2e-05,8,125902852,1255682,0.00997342,326.405,True
